Orthogroup	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	Sp7498_pacbio.protein
OG0000048	wa7733.asm1v1.ann1.run1_006116_1, wa7733.asm1v1.ann1.run1_007737_1	g11578.t1, g11580.t1, g11583.t1, g11576.t1, g11574.t1
OG0000049	wa7733.asm1v1.ann1.run1_013458_1, wa7733.asm1v1.ann1.run1_005048_1	g1288.t1, g2374.t1, g2408.t1, g2938.t1, g2377.t1, g2376.t1, g17155.t1, g10098.t1, g10097.t1
OG0000050	wa7733.asm1v1.ann1.run1_006342_1	g5895.t1
OG0000050	wa7733.asm1v1.ann1.run1_009634_1	g12507.t1
OG0000050	wa7733.asm1v1.ann1.run1_007664_1	g17338.t1
OG0000051	wa7733.asm1v1.ann1.run1_012788_1	g18886.t1, g18845.t1
OG0000051	wa7733.asm1v1.ann1.run1_013078_1	g15811.t1
OG0000051	wa7733.asm1v1.ann1.run1_009561_1	g5635.t1
OG0000051	wa7733.asm1v1.ann1.run1_011922_1	g15886.t1
OG0000052	wa7733.asm1v1.ann1.run1_008200_1, wa7733.asm1v1.ann1.run1_010885_1, wa7733.asm1v1.ann1.run1_012671_1	g7340.t1, g7344.t1, g7339.t1, g7343.t1, g7342.t1, g7341.t1, g7338.t1, g7337.t1
OG0000052	wa7733.asm1v1.ann1.run1_012672_1	g7336.t1
OG0000053	wa7733.asm1v1.ann1.run1_014537_1, wa7733.asm1v1.ann1.run1_014536_1, wa7733.asm1v1.ann1.run1_006915_1, wa7733.asm1v1.ann1.run1_015048_1, wa7733.asm1v1.ann1.run1_006914_1, wa7733.asm1v1.ann1.run1_015041_1, wa7733.asm1v1.ann1.run1_015047_1, wa7733.asm1v1.ann1.run1_006916_1, wa7733.asm1v1.ann1.run1_006917_1, wa7733.asm1v1.ann1.run1_014538_1, wa7733.asm1v1.ann1.run1_009429_1, wa7733.asm1v1.ann1.run1_009430_1	g18518.t1
OG0000054	wa7733.asm1v1.ann1.run1_014426_1, wa7733.asm1v1.ann1.run1_010558_1	g16769.t1, g2303.t1
OG0000054	wa7733.asm1v1.ann1.run1_010559_1	g16770.t1, g2304.t1, g2307.t1
OG0000055	wa7733.asm1v1.ann1.run1_007639_1	g11832.t1
OG0000055	wa7733.asm1v1.ann1.run1_003941_1	g8782.t1
