Orthogroup	wa8730.asm201904v2.ann1.proteins	Sp9509_oxford_v3.proteins
OG0000060	Wa8730a015g001060_P001	Sp12g00825
OG0000060	Wa8730a007g001010_P001	Sp04g01118
OG0000060	Wa8730a003g005070_P001	Sp03g00808
OG0000060	Wa8730a003g007410_P001	Sp03g01071
OG0000062	Wa8730a002g010310_P001	Sp14g00053, Sp02g00071
OG0000062	Wa8730a019g001190_P001	Sp06g00189
OG0000062	Wa8730a008g003370_P001, Wa8730a004g004070_P001	Sp13g00773
OG0000063	Wa8730a017g004300_P001, Wa8730a017g004300_P002	Sp11g00306
OG0000063	Wa8730a013g002710_P001	Sp14g00435
OG0000065	Wa8730a006g002860_P001, Wa8730a006g002850_P001, Wa8730a006g002840_P001, Wa8730a006g002830_P001, Wa8730a006g002810_P001, Wa8730a006g002820_P001, Wa8730a006g002800_P001	Sp16g00333, Sp07g00038
OG0000066	Wa8730a008g001160_P001	Sp07g00133
OG0000066	Wa8730a003g001370_P001	Sp18g00645, Sp01g00090, Sp03g00254
OG0000067	Wa8730a001g003960_P001, Wa8730a009g002790_P001	Sp10g00788, Sp01g01030
OG0000067	Wa8730a002g007610_P001	Sp09g00814, Sp02g00439
OG0000067	Wa8730a015g004680_P001	Sp12g00253
OG0000068	Wa8730a003g007250_P001, Wa8730a001g011240_P001, Wa8730a005g001220_P001, Wa8730a009g006530_P001	Sp09g00983
OG0000069	Wa8730a013g000220_P001	Sp14g00791
OG0000069	Wa8730a017g000100_P001, Wa8730a014g001120_P001, Wa8730a017g000090_P001, Wa8730a014g001140_P001, Wa8730a017g000130_P001, Wa8730a017g000080_P001	Sp20g00568
OG0000070	Wa8730a006g004560_P001, Wa8730a003g006570_P001, Wa8730a019g000220_P001	Sp04g01140
OG0000072	Wa8730a012g000060_P001	Sp07g00373
OG0000072	Wa8730a011g000210_P001	Sp17g00030, Sp04g00412, Sp11g00040
OG0000073	Wa8730a019g001900_P001	Sp06g00324, Sp06g00320, Sp06g00321, Sp06g00315, Sp06g00319, Sp06g00323, Sp06g00318, Sp06g00322
OG0000074	Wa8730a002g005090_P001, Wa8730a002g005100_P001, Wa8730a002g005080_P001, Wa8730a002g005070_P001, Wa8730a002g004860_P001, Wa8730a002g004420_P001, Wa8730a002g004430_P001	Sp02g00736, Sp06g00759
OG0000075	Wa8730a018g001000_P001	Sp06g01198
OG0000075	Wa8730a018g000820_P001	Sp03g00998
OG0000075	Wa8730a015g000460_P001	Sp06g01197
OG0000076	Wa8730a016g001830_P001	Sp04g01352, Sp04g01344, Sp18g00467
OG0000076	Wa8730a012g001000_P001, Wa8730a012g001410_P001, Wa8730a006g007150_P001	Sp04g01347, Sp04g01353
OG0000077	Wa8730a011g004300_P001, Wa8730a017g002420_P001	Sp02g00803
OG0000077	Wa8730a005g003150_P001, Wa8730a004g002380_P001	Sp13g00537
OG0000077	Wa8730a013g003530_P001	Sp20g00232
