Orthogroup	wa8730.asm201904v2.ann1.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func
OG0000017	Wa8730a004g004710_P001	wa7733.asm1v1.ann1.run1_011147_1
OG0000017	Wa8730a008g005230_P001	wa7733.asm1v1.ann1.run1_013625_1
OG0000017	Wa8730a002g002020_P001	wa7733.asm1v1.ann1.run1_004812_1
OG0000017	Wa8730a016g003730_P001	wa7733.asm1v1.ann1.run1_000738_1
OG0000017	Wa8730a003g006950_P002, Wa8730a003g006950_P001	wa7733.asm1v1.ann1.run1_006758_1, wa7733.asm1v1.ann1.run1_006758_2
OG0000018	Wa8730a013g004500_P001	wa7733.asm1v1.ann1.run1_000487_1
OG0000018	Wa8730a009g000220_P001	wa7733.asm1v1.ann1.run1_006318_1
OG0000018	Wa8730a019g000160_P001	wa7733.asm1v1.ann1.run1_012462_1
OG0000018	Wa8730a001g012150_P001	wa7733.asm1v1.ann1.run1_009537_1
OG0000018	Wa8730a019g002000_P001	wa7733.asm1v1.ann1.run1_006865_1
OG0000019	Wa8730a011g002460_P001	wa7733.asm1v1.ann1.run1_000259_1
OG0000019	Wa8730a011g001460_P001	wa7733.asm1v1.ann1.run1_000360_1
OG0000019	Wa8730a011g002290_P001	wa7733.asm1v1.ann1.run1_000284_1, wa7733.asm1v1.ann1.run1_000279_1
OG0000020	Wa8730a016g001730_P001	wa7733.asm1v1.ann1.run1_011448_1
OG0000020	Wa8730a007g006280_P001	wa7733.asm1v1.ann1.run1_014496_1, wa7733.asm1v1.ann1.run1_000710_1
OG0000020	Wa8730a007g006270_P001, Wa8730a007g006260_P001, Wa8730a007g006030_P001	wa7733.asm1v1.ann1.run1_013879_1
OG0000020	Wa8730a007g006040_P001	wa7733.asm1v1.ann1.run1_003349_1
OG0000020	Wa8730a013g004870_P001	wa7733.asm1v1.ann1.run1_000523_1
OG0000020	Wa8730a017g003640_P001	wa7733.asm1v1.ann1.run1_010459_1
OG0000020	Wa8730a002g005420_P001	wa7733.asm1v1.ann1.run1_001003_1
OG0000021	Wa8730a011g005590_P001	wa7733.asm1v1.ann1.run1_010239_1
OG0000021	Wa8730a002g009900_P001	wa7733.asm1v1.ann1.run1_012957_1
OG0000021	Wa8730a011g004700_P001	wa7733.asm1v1.ann1.run1_003738_1
OG0000021	Wa8730a013g005130_P001	wa7733.asm1v1.ann1.run1_005176_1, wa7733.asm1v1.ann1.run1_005175_1
OG0000021	Wa8730a013g005120_P001	wa7733.asm1v1.ann1.run1_014336_1
OG0000021	Wa8730a013g005140_P001	wa7733.asm1v1.ann1.run1_005173_1
OG0000021	Wa8730a013g005150_P001	wa7733.asm1v1.ann1.run1_013664_1, wa7733.asm1v1.ann1.run1_014264_1
OG0000021	Wa8730a013g005100_P001	wa7733.asm1v1.ann1.run1_013167_1
OG0000021	Wa8730a018g002300_P001	wa7733.asm1v1.ann1.run1_014037_1
OG0000021	Wa8730a011g004730_P001	wa7733.asm1v1.ann1.run1_003735_1
OG0000021	Wa8730a011g004580_P001	wa7733.asm1v1.ann1.run1_003751_1
OG0000022	Wa8730a00Ug000190_P001	wa7733.asm1v1.ann1.run1_015075_1
OG0000022	Wa8730a00Ug000210_P001, Wa8730a00Ug000180_P001, Wa8730a00Ug000100_P001, Wa8730a019g003320_P001	wa7733.asm1v1.ann1.run1_014429_1
OG0000022	Wa8730a00Ug000030_P001	wa7733.asm1v1.ann1.run1_014141_1
OG0000022	Wa8730a00Ug000070_P001	wa7733.asm1v1.ann1.run1_014974_1
OG0000022	Wa8730a00Ug000120_P001	wa7733.asm1v1.ann1.run1_014139_1
OG0000022	Wa8730a019g003310_P001	wa7733.asm1v1.ann1.run1_014704_1, wa7733.asm1v1.ann1.run1_014703_1, wa7733.asm1v1.ann1.run1_014631_1, wa7733.asm1v1.ann1.run1_011224_1, wa7733.asm1v1.ann1.run1_014632_1
OG0000023	Wa8730a010g002390_P001	wa7733.asm1v1.ann1.run1_009191_1
OG0000023	Wa8730a006g004110_P001	wa7733.asm1v1.ann1.run1_003589_1
OG0000023	Wa8730a020g002310_P001	wa7733.asm1v1.ann1.run1_002500_1
OG0000023	Wa8730a009g000330_P001	wa7733.asm1v1.ann1.run1_006307_1
OG0000023	Wa8730a010g002500_P001	wa7733.asm1v1.ann1.run1_009200_1
OG0000024	Wa8730a004g005400_P001	wa7733.asm1v1.ann1.run1_012312_1
OG0000024	Wa8730a004g005370_P001	wa7733.asm1v1.ann1.run1_012316_1
OG0000024	Wa8730a005g006420_P001	wa7733.asm1v1.ann1.run1_008892_1
OG0000024	Wa8730a005g006410_P001	wa7733.asm1v1.ann1.run1_008891_1
OG0000024	Wa8730a005g006400_P001	wa7733.asm1v1.ann1.run1_008890_1
OG0000024	Wa8730a005g006390_P001	wa7733.asm1v1.ann1.run1_008889_1
OG0000024	Wa8730a005g006450_P001	wa7733.asm1v1.ann1.run1_015106_1
OG0000024	Wa8730a005g006440_P001	wa7733.asm1v1.ann1.run1_008893_1
OG0000024	Wa8730a004g000370_P001	wa7733.asm1v1.ann1.run1_015201_1
OG0000024	Wa8730a005g008650_P001	wa7733.asm1v1.ann1.run1_007880_1
OG0000024	Wa8730a005g008660_P001	wa7733.asm1v1.ann1.run1_007881_1
OG0000026	Wa8730a004g007190_P001	wa7733.asm1v1.ann1.run1_006159_1
OG0000026	Wa8730a004g000680_P001	wa7733.asm1v1.ann1.run1_010524_1
OG0000026	Wa8730a016g003670_P001	wa7733.asm1v1.ann1.run1_012889_1
OG0000026	Wa8730a015g001400_P001	wa7733.asm1v1.ann1.run1_008173_1
OG0000027	Wa8730a003g006110_P001	wa7733.asm1v1.ann1.run1_001926_1
OG0000027	Wa8730a017g002730_P001	wa7733.asm1v1.ann1.run1_006799_1
OG0000027	Wa8730a007g000770_P001	wa7733.asm1v1.ann1.run1_011084_1, wa7733.asm1v1.ann1.run1_007750_1
OG0000028	Wa8730a012g004390_P001	wa7733.asm1v1.ann1.run1_013606_1
OG0000028	Wa8730a006g004020_P001	wa7733.asm1v1.ann1.run1_003598_1
OG0000028	Wa8730a006g000600_P002, Wa8730a006g000600_P001	wa7733.asm1v1.ann1.run1_010362_2, wa7733.asm1v1.ann1.run1_010362_1
OG0000028	Wa8730a008g004250_P001, Wa8730a008g004250_P002	wa7733.asm1v1.ann1.run1_009987_2, wa7733.asm1v1.ann1.run1_009987_1
OG0000028	Wa8730a016g002270_P001	wa7733.asm1v1.ann1.run1_005066_1
OG0000028	Wa8730a006g006440_P001	wa7733.asm1v1.ann1.run1_003397_1
